Topic,Count,Name,Representation,Representative_Docs,Topic_Label
44,71,44_cat_corn_meat_food,"['cat', 'corn', 'meat', 'food', 'chicken', 'kitten', 'filler', 'kibble', 'ingredient', 'eat']","['bought cat food wonderful low price enjoy adorable cat commercial cat eat food fact really enjoyed however reading ingredient research completely regret purchasing feel awful feeding cat first ingredient indicates prevalent ingredient water sufficient processing liver wheat gluten meat product product even real meat product stuff leftover actual meat harvested talking beak chicken foot eyeball even chicken poop would recommend quality cat food suppose get pay think reason cat approved may contains artificial flavor taste cat usually feed dry food dental reason wet food put much scent enjoy recommend stay far away friskies simply low quality filler food even though price quite inexpensive cat actually eat paid better quality food never feel full cat need eat real identifiable pure meat enough real meat food purchasing cat dog food important thing consider first ingredient make sure first three decent ingredient identify would eat provided eat typical vegetarian restricted diet know look usually buy pet natural food natural balance blue buffalo halo wellness brand contain real whole meat would eat added filler low quality food', 'bought cat food wonderful low price enjoy adorable cat commercial cat eat food fact really enjoyed however reading ingredient research completely regret purchasing feel awful feeding cat first ingredient indicates prevalent ingredient water sufficient processing liver wheat gluten meat product product even real meat product stuff leftover actual meat harvested talking beak chicken foot eyeball even chicken poop would recommend quality cat food suppose get pay think reason cat approved may contains artificial flavor taste cat usually feed dry food dental reason wet food put much scent enjoy recommend stay far away friskies simply low quality filler food even though price quite inexpensive cat actually eat paid better quality food never feel full cat need eat real identifiable pure meat enough real meat food purchasing cat dog food important thing consider first ingredient make sure first three decent ingredient identify would eat provided eat typical vegetarian restricted diet know look usually buy pet natural food natural balance blue buffalo halo wellness brand contain real whole meat would eat added filler low quality food', 'bought cat food wonderful low price enjoy adorable cat commercial cat eat food fact really enjoyed however reading ingredient research completely regret purchasing feel awful feeding cat first three ingredient indicates prevalent ingredient ground yellow corn corn gluten meal chicken meal disgusting main ingredient cheap corn filler one thing vet told back never forgot eat corn come end thing happens cat dog basically corn cannot fully digested filler cause pet actually eat feel full poop clean litter box retain less nutrient meat friskies even real meat product stuff leftover actual meat harvested talking beak chicken foot eyeball even chicken poop would recommend anyone reason ever absolutely awful cat food suppose get pay think reason cat approved may contains artificial flavor taste cat usually feed dry food dental reason wet food put much scent enjoy recommend stay far away friskies simply low quality filler food even though price quite inexpensive cat actually eat paid better quality food never feel full cat need eat meat real meat food purchasing cat dog food important thing consider first ingredient make sure first three decent ingredient would eat know look usually buy pet natural dry food blue buffalo halo wellness brand contain real whole meat would eat added filler corn']",Cat Food Ingredients
45,71,45_review_negative_indus_based,"['review', 'negative', 'indus', 'based', 'delfa', 'write', 'taste', 'mouth', 'company', 'bad']","['come back edit review originally giving star something gone terribly wrong used love terrible know changed formula problem terrible taste never used heard customer complain idea talking thought crazy turn right every cup least last shipment cappuchino cup bad taste tell taste bad taste really bad found even able finish dissapointed', 'come back edit review originally giving star something gone terribly wrong used love terrible know changed formula problem terrible taste never used heard customer complain idea talking thought crazy turn right every cup least last shipment cappuchino cup bad taste tell taste bad taste really bad found even able finish dissapointed', 'wish would listened review see loved delfa danish ribbon roll much liked little chewy stale side thought worth shot seriously waste time taste nothing original taste cherry cough syrup would taste dried even friend try never original took one bite spit would even given one star give least one review sent entire box back disappointed delfa roll favorite excited see came back well turn try something please waste time money still want try make sure get refund']",Negative Product Reviews
46,67,46_cereal_oatmeal_happybellies_baby,"['cereal', 'oatmeal', 'happybellies', 'baby', 'smell', 'rancid', 'dha', 'thicken', 'probiotic', 'color']","['lot research single grain oatmeal cereal clear happybellies best ingredient dha algea opposed fish oil better blend probiotic opposed one type however definitely sort production problem can oatmeal july expiration date first distinct smell oatmeal oatmeal strong stale smell look grey color oatmeal almost smell consistent light khaki color second happybellies oatmeal thicken formula oatmeal son acid reflux told add one tablespoon oatmeal per ounce formula use gerber oatmeal dha probiotic make formula thick sludgelike happybellies matter much add thicken formula remains watery suitable baby spit excessively third think son allergic reaction oatmeal issue using non organic gerber oatmeal dha probiotic happybellies thrown formula oatmeal immediately eating stomach upset also seemed break rash putting happybellies couple day agree review definitely seems something wrong batch oatmeal suspect moisture somehow oatmeal sealed result rotted thus causing bad smell grey color unable absorb moisture formula thicken solution grey color even made wonder mold grown oatmeal clear happybellies issue voluntary recall', 'lot research single grain oatmeal cereal clear happybellies best ingredient dha algea opposed fish oil better blend probiotic opposed one type however definitely sort production problem can oatmeal july expiration date first distinct smell oatmeal oatmeal strong stale smell look grey color oatmeal almost smell consistent light khaki color second happybellies oatmeal thicken formula oatmeal son acid reflux told add one tablespoon oatmeal per ounce formula use gerber oatmeal dha probiotic make formula thick sludgelike happybellies matter much add thicken formula remains watery suitable baby spit excessively third think son allergic reaction oatmeal issue using non organic gerber oatmeal dha probiotic happybellies thrown formula oatmeal immediately eating stomach upset also seemed break rash putting happybellies couple day agree review definitely seems something wrong batch oatmeal suspect moisture somehow oatmeal sealed result rotted thus causing bad smell grey color unable absorb moisture formula thicken solution grey color even made wonder mold grown oatmeal clear happybellies issue voluntary recall', 'lot research single grain oatmeal cereal clear happybellies best ingredient dha algea opposed fish oil better blend probiotic opposed one type however definitely sort production problem can oatmeal july expiration date first distinct smell oatmeal oatmeal strong stale smell look grey color oatmeal almost smell consistent light khaki color second happybellies oatmeal thicken formula oatmeal son acid reflux told add one tablespoon oatmeal per ounce formula use gerber oatmeal dha probiotic make formula thick sludgelike happybellies matter much add thicken formula remains watery suitable baby spit excessively third think son allergic reaction oatmeal issue using non organic gerber oatmeal dha probiotic happybellies thrown formula oatmeal immediately eating stomach upset also seemed break rash putting happybellies couple day agree review definitely seems something wrong batch oatmeal suspect moisture somehow oatmeal sealed result rotted thus causing bad smell grey color unable absorb moisture formula thicken solution grey color even made wonder mold grown oatmeal clear happybellies issue voluntary recall']",Rancid Baby Cereal
47,65,47_ginger_lemon_drink_sip,"['ginger', 'lemon', 'drink', 'sip', 'kili', 'hot', 'snap', 'beer', 'reed', 'packet']","['picture website show package list organic ginger one ingredient however ginger snap received slightly different packaging pictured ginger powder instead ginger one ingredient picture description updated would purchased known change ingredient', 'excited try received one single serving rather disappointed get box love lemon favorite flavor mixed hot water quite look box mine darker first sip disappointed yikes ginger max ginger almost ginger gone bad taste lemon glad one packet wanting give another chance put fridge later added ice see better answer made feel kind sick strange ginger stomach ingredient look pack know made singapore serious ginger', 'love ginger known make pot tea fresh ginger honey finishing ginger syrup made fantastic bubbly water even vodka looking forward trying tried say would ever purchase tried hot first following instruction putting half fridge cool first look picture outside foil packet instead lovely golden yellow light brown beef vegetable broth hoping harbinger thing come sat enjoy flavor unfortunately really enjoy little lemon flavor slight lemon aftertaste really looking overall flavor much bitter fresh ginger would almost medicinal taste ginger bite thing really reminds ginger tried cold ice cube help cool flavor seem strong still bitter taste first sip hot cold honestly drink aftertaste much genuinely want finish drink overall used something stash ginger honey tea even tea made fresh ginger substitute flavor profile different bitterness hard get past opportunity try smaller amount purchasing would highly recommend definitely seems something would appeal specific possibly limited audience']",Ginger Lemon Drink
48,63,48_cappuccino_station_gas_skim,"['cappuccino', 'station', 'gas', 'skim', 'cup', 'grove', 'machine', 'instant', 'square', 'drinkable']","['half sampler cappuccino mix flavored coffee cappuccino cup full artificial sweetener creamer neither consume disappointed order company', 'cappuccino taste buy never buy would recommend anyone', 'cappuccino taste buy never buy would recommend anyone']",Instant Cappuccino
49,62,49_fructose_agave_syrup_sugar,"['fructose', 'agave', 'syrup', 'sugar', 'hfc', 'corn', 'nectar', 'high', 'ingredient', 'cane']","['agave nectar agave sugar obtained boiling center plant agave fructose much twice much high fructose found corn want consume fructose fine buy soft drink indulge reason fructose found allegedly healthy snack bar', 'yes know know agave nectar supposed answer seeking address insulin issue low carb diet want healthy alternative sugar even honey maple syrup let alone high fructose corn syrup artificial sweetener yes done research personally interested organic low glycemic index product used agave nectar couple year proudly serving friend despite great enthusiasm agave nectar endless hype folk know better hate tell baloney successful clever marketing campaign promote sweetener better likely worse many sweetener replaces first forget mental image nectar naturally flowing majestic agave cactus created factory chemical refining process much way high fructose corn syrup starchy root agave plant fact refined high frustose stripped nutrient value higher fructose content high frustose corn syrup high fructose agave nectar spike blood sugar level fructose cause mineral depletion liver inflammation hardening artery insulin resistance leading diabetes cardio vascular disease obesity may toxic use pregnancy think making shilling manufacturer competing sweetener google agave fraud see wish otherwise october wall street journal reported glycemic research institute washington laboratory issued warning friday diabetic experienced severe dangerous side effect testing agave nectar diabetic passed floor taken hospital say ann wee allen chief biomedical research lab declined say much diabetic consumed test saying would disclosed complete analysis result lab stopped testing agave human amid safety concern also allen say lab refused test four agave product chemical analysis commissioned another lab found mixed high fructose corn syrup disclosed label declined name brand wikipedia entry agave note extremely high percentage fructose deleterious trigger fructose malabsorption metabolic syndrome hypertriglyceridemia decreased glucose tolerance hyperinsulinemia accelerated uric acid formation citing basciano federico adeli fructose insulin resistance metabolic dyslipidemia nutrition metabolism doi pmid pmc mayes intermediary metabolism fructose clin nutr nov pmid buemann toubro holst rehfeld bibby astrup tagatose stereoisomer fructose increase blood uric acid concentration metabolism aug pmid davis yet another reason avoid fructose heart scan blog dec many discussion issue appearing internet decide', 'jonny bowden phd agave syrup nectar basically high fructose corn syrup masquerading health food sorry kill messenger easy understand agave syrup got great reputation even word agave fine pedigree coming greek word noble blue agave specie considered best making agave nectar flourish rich volcanic soil also variety permitted used making tequila extract agave plant shown anti inflammatory antioxidant property unfortunately zero evidence compound present commercially made syrup agave nectar amber colored liquid pours easily honey considerably sweeter sugar health food crowd love gluten free suitable vegan diet especially low glycemic get moment largely low glycemic impact agave nectar marketed diabetic friendly turn quite lot agave nectar low glycemic index one reason largely made fructose although low glycemic index probably single damaging form sugar used sweetener exception pure liquid fructose agave nectar highest fructose content commercial sweetener sugar table sugar hfc high fructose corn syrup honey contains mixture fructose glucose table sugar hfc agave nectar whopping percent fructose almost quite twice high hfc fructose sugar found naturally fruit perfectly fine get whole food apple percent fructose come host vitamin antioxidant fiber commercially extracted fruit concentrated made sweetener exacts considerable metabolic price research show fructose part sweetener dangerous fructose cause insulin resistance significantly raise triglyceride risk factor heart disease also increase fat around middle turn put greater risk diabetes heart disease metabolic syndrome aka pre diabetes fructose linked non alcoholic fatty liver disease rat given high fructose diet developed number undesirable metabolic abnormality including elevated triglyceride weight gain extra abdominal fat agave plant sweetness come particular kind fructose called inulin actually health benefit considered fiber much inulin left actual syrup manufacturing process enzyme added inulin break digestible sugar fructose resulting syrup fructose content best percent much commonly high percent agave syrup almost fructose highly processed sugar great marketing said ingrid kohlstadt fellow american college nutrition associate faculty member john hopkins school public health fructose interferes healthy metabolism consumed higher dos told many people fructose intolerance lactose intolerance get acne worse diabetes symptom even though blood sugar agave nectar syrup triumph marketing science true low glycemic index gasoline mean']",Sweetener Ingredients
50,60,50_tree_plant_bonsai_leaf,"['tree', 'plant', 'bonsai', 'leaf', 'dead', 'died', 'pot', 'branch', 'thrip', 'soil']","['expecting bought tree week ago welcoming home gift wife received tree mail disappointed size tree tree one sprig green size plum pot tree looked nothing picture run another bonsai tree store hour away fix problem', 'plant showed week ordering covered white fungus mold know want put near plant bought greenbox contacted waiting hear back tree look photo pot seems way small tree tree seems rather weak looking term health beauty looking forward hoping would get brussels tree brussels last bonsai bought actually great plant buy seller looking get brussels tree', 'supposed tree got small sad looking plant expensive tiny plant shed accepted called tree mad went grocery store saw exact plant full bigger disappointing wanted tree well kinda picture']",Dead Bonsai Plant
51,58,51_diarrhea_dog_treat_vomiting,"['diarrhea', 'dog', 'treat', 'vomiting', 'puppy', 'vet', 'ill', 'chew', 'gave', 'giving']","['gave two dog one bone picked grocery shopping monday evening early tuesday morning one dog already throwing first time white bedding course everything first bowel movement day pretty much water diarrhea carpet multiple area work two time night lethargic unable keep food meanwhile dog gotten horrible diarrhea well wednesday morning made boiled egg one dog already throwing ended losing breakfast short later gave white rice little bit chicken stock dinner night held sometime night one dog diarrhea house today thursday dog still loose knock wood seems vomiting control called vet said split immodium two make sure drinking plenty water debacle keep finger crossed carpert still clean get home never ever buy another hartz', 'bought month old lab also bought treat dehydrated liver kong biscuit bully stick day feeding lab got violently ill vomiting diarrhea took vet overnight stay fluid vet idea decided ray see something blocking intestine nothing antibiotic rest back normal high energetic self gave sweet potato fry week first sickness episode hr later vomiting worried figured must something feeding examined package saw made china threw puppy fine since logic point treat longer buy food item dog china nobody else posted anything ill reaction treat search around lot dog treat china making dog sick', 'bought month old lab also bought treat dehydrated liver kong biscuit bully stick day feeding lab got violently ill vomiting diarrhea took vet overnight stay fluid vet idea decided ray see something blocking intestine nothing antibiotic rest back normal high energetic self gave sweet potato fry week first sickness episode hr later vomiting worried figured must something feeding examined package saw made china threw puppy fine since logic point treat longer buy food item dog china nobody else posted anything ill reaction treat search around lot dog treat china making dog sick']",Dog Illness Treats
52,57,52_fruitcake_variety_halva_card,"['fruitcake', 'variety', 'halva', 'card', 'ordered', 'assortment', 'claxton', 'mid', 'cherry', 'flavor']","['claxton dark fruitcake holiday tradition family since mid ordered directly company year served thanksgiving guest thought must fooled counterfeit website claiming sell claxton fruitcake best fruit nut consisted gummy light colored cake emailed company expressed disappointment several email back forth today talking one owner assured original dark recipe reading ingredient noticed corn syrup sugar high fructose corn syrup listed flour ingredient end listed molasses spice artificial food dye high fructose corn syrup widely available mid mid sure one original ingredient people talked seemed attitude stupid possibly observing correctly although offered send replacement returned expense told would receive would identical one owner informed received zero complaint year grieving loss almost year tradition cake trash', 'claxton dark fruitcake holiday tradition family since mid ordered directly company year served thanksgiving guest thought must fooled counterfeit website claiming sell claxton fruitcake best fruit nut consisted gummy light colored cake emailed company expressed disappointment several email back forth today talking one owner assured original dark recipe reading ingredient noticed corn syrup sugar high fructose corn syrup listed flour ingredient end listed molasses spice artificial food dye high fructose corn syrup widely available mid mid sure one original ingredient people talked seemed attitude stupid possibly observing correctly although offered send replacement returned expense told would receive would identical one owner informed received zero complaint year grieving loss almost year tradition cake trash', 'claxton fruit cake review credit card weird mean wann play card right time gott ahh catch use might lose fruitcake well sans fruitcake joke please stand recently lost couple hard earned credit card due lack use really mean really america come establish establish basic dollar human worthiness unsolicited credit card offer get lose use awhile without warning zap gone seems want card overboard hound end use even forget one cut cancel card fruitcake say fruitcake learned thing told one card hey better use lose nothing really wanted needed time need love ordered one card feared losing soon unless used ordering receiving trying particular supposed gourmet fruitcake report isss overall much less expected word pretty bad fruitcake opinion price really bad situation strongly suggest use used credit card fund disposable income something else cause pretty bad fruitcake cut quick question either knowledge experience said fruitcake let say getting fruitcake gift usually around christmas long long long long time ever since care remember actually think remember upon time casually mentioned family friend others liked fruitcake actually generally liked fruitcake well soon word spread given family friend age complaining fruitcake said particular fruitcake brand fairly average best compared cost pretty awful believe dear reader follower wanted really impulse buy time wanted really half decent fruitcake inexpensive mean keeping credit card alive kicking well big impulsive mistake according taste decade long relationship fruitcake general history loving almost every fruitcake ever guide fellow fruitcake lover away buying anything sample please make mistake made ordered taste unseen three single fruitcake purchase even one would told story realize review may grain though fiber wise dissing coming long history fruitcake enjoyment even come close quality taste otherwise fruitcake enjoyed past present future heck even cake big thick dough many sweet fruit nut pretty dry unmemorable heck even sweet generally much rather bowl cheese cracker chip bowl full reese peanut butter cup chunkey monkey sickenly sweet thing heck sweet ever really loved fruitcake disappointing overpriced think fruitcake equivalent fruitcake dough cookie dough ice cream always thought weird really concentrating essential eating fruitcake dough baking fruitcake cake uncooked dough really end wholly unacceptable technical pretty darn yucky betcha opinion try sample ordering anything judging generally favorable opinion specific fruitcake found may never know generally high review managed finish one three individual pound ordered sent btw delivered nice fast easy usual gonna give rest away think would felt guilty subjecting anyone else threw two pound cake away maybe rat worm know basically make long boring hopefully humorous story short suggest buyer beware buy try smallest portion size thick tasteless many way fruitcake mean purchase away give kind enthusiastic thumb far fruitcake know instruction use virtually non existent manual software little documentation supposed actually enjoy doughy mess real warranty fruitcake lover buyer beware fellow outcast strange dog hopelessly romantic secret fruitcake lover small minority brother sister know fruitcake bad let say nowhere near worth asking price tried actually liked suggest expand fruitcake worldview experience brand cheap dollar store variety better imho one thing sure though next hardly used credit card purchase go another gift card someone else something bad bad']",Fruitcake Assortment
53,57,53_sampler_cup_mountain_variety,"['sampler', 'cup', 'mountain', 'variety', 'eggnog', 'vanilla', 'gingerbread', 'assortment', 'flavored', 'stapled']","['nutshell save upset buy cup sampler someone else read review ordering expected get duplicate wow review read think gotten shortest stick far coffee brown paper bag green mountain half christmas fall sampler mid may got sent order filled multiple pumpkin spice spicy eggnog gingerbread coffee really also expire next day even though buy office hard sell guy going want drink spicy eggnog june florida said half going wind trash huge let luckily cup seller bought past satisfied', 'nutshell save upset buy cup sampler someone else read review ordering expected get duplicate wow review read think gotten shortest stick far coffee brown paper bag green mountain half christmas fall sampler mid may got sent order filled multiple pumpkin spice spicy eggnog gingerbread coffee really also expire next day even though buy office hard sell guy going want drink spicy eggnog june florida said half going wind trash huge let luckily cup seller bought past satisfied', 'purchased sampler wanted try pumpkin spice gingerbread golden french toast eggnog advertised included sampler included box received']",Flavored Sampler Pack
54,56,54_cracker_crunchies_broken_crumb,"['cracker', 'crunchies', 'broken', 'crumb', 'stale', 'pkg', 'cooky', 'didnt', 'animal', 'box']","['entire case stale broken bit never buy brand cracker', 'excited find diamond cracker online arrived nothing dissapointing cracker stale tasteless cracker grew', 'package opened cracker broken bad enough also stale']",Stale Animal Crackers
55,56,55_sucralose_sweetener_honey_artificial,"['sucralose', 'sweetener', 'honey', 'artificial', 'sweetened', 'lipton', 'natural', 'sugar', 'stevia', 'splenda']","['bought dislike taste artificial sweetener thought would taste better low calorie powdered drink mix crystal light however soon tasted knew fake sugar could taste artificial sweetener could taste honey turned package sure enough one listed ingredient sucralose found splenda think label bit misleading give impression honey used sweeten case box say contain aspartame true sucralose much better still artificial taste buy truthfully would rather buy sweetened honey real sugar even meant calorie spoonful sugar calorie put one spoonful per pack pack make two glass beverage would still low calorie drink would taste better would natural', 'quite excited try lipton new tea honey packet bit skeptical five calorie proposed ounce serving seeing honey fairly high caloric sweetener figured give anyway receiving tea mixed per instruction took sip yowzas tea super sweet bit strawberry flavor tea could taste ended watering tea enough one packet usually two serving end four five serving berry flavor became diluted still taste icky sweetness overall berry flavor tea weak even undiluted noticed honey flavor ever took look see ingredient spotted sucralose artificial sweetener thrown right middle thing sweetness take kindly addition avoid artificial sweetener whenever possible seeing lipton sneakily claiming sweetened honey look aspartame mention actuality sweetener honey granule made honey sugar sucralose except viewing ingredient list make angry swindled yeah natural right definitely going trust lipton marketing urge think switching natural sweetener stevia food natural best skip picky mind artificial sweetener food give interested trying flavor', 'quite excited try lipton new tea honey packet bit skeptical five calorie proposed ounce serving seeing honey fairly high caloric sweetener figured give anyway receiving tea mixed per instruction took sip yowzas tea super sweet bit strawberry flavor tea could taste ended watering tea enough one packet usually two serving end four five serving berry flavor became diluted still taste icky sweetness overall berry flavor tea weak even undiluted noticed honey flavor ever took look see ingredient spotted sucralose artificial sweetener thrown right middle thing sweetness take kindly addition avoid artificial sweetener whenever possible seeing lipton sneakily claiming sweetened honey look aspartame mention actuality sweetener honey granule made honey sugar sucralose except viewing ingredient list make angry swindled yeah natural right definitely going trust lipton marketing urge think switching natural sweetener stevia food natural best skip picky mind artificial sweetener food give interested trying flavor']",Artificial Sweeteners
56,54,56_dressing_salad_walden_ranch,"['dressing', 'salad', 'walden', 'ranch', 'soo', 'farm', 'kraft', 'calorie', 'sauce', 'chemical']","['give star wont allow less ranch dressing also waaaaaayyy sweet chemical taste splenda overtakes taste actual could never understand add soo much artificial sweetener something salad dressing one five walden calorie free tried disappointed already taking chance knowing sweetened splenda instead stevia god sake make soo unpalatable soo many alternative kill soo much sweeterner review product may around darn best make dressing might calorie free least consumable ranch need sugar wtf made ranch scratch never add sugar also dry chemical flavor come sooo lucky healthfood store nice return policy tasting dressing product could use felt jipped cheap', 'give star wont allow less ranch dressing also waaaaaayyy sweet chemical taste splenda overtakes taste actual could never understand add soo much artificial sweetener something salad dressing one five walden calorie free tried disappointed already taking chance knowing sweetened splenda instead stevia god sake make soo unpalatable soo many alternative kill soo much sweeterner review product may around darn best make dressing might calorie free least consumable ranch need sugar wtf made ranch scratch never add sugar also dry chemical flavor come sooo lucky healthfood store nice return policy tasting dressing product could use felt jipped cheap', 'give star wont allow less ranch dressing also waaaaaayyy sweet chemical taste splenda overtakes taste actual could never understand add soo much artificial sweetener something salad dressing one five walden calorie free tried disappointed already taking chance knowing sweetened splenda instead stevia god sake make soo unpalatable soo many alternative kill soo much sweeterner review product may around darn best make dressing might calorie free least consumable ranch need sugar wtf made ranch scratch never add sugar also dry chemical flavor come sooo lucky healthfood store nice return policy tasting dressing product could use felt jipped cheap']",Salad Dressing Options
57,53,57_trans_erucic_fat_hydrogenated,"['trans', 'erucic', 'fat', 'hydrogenated', 'canola', 'acid', 'oil', 'study', 'partially', 'journal']","['used many year favored imagine high quality ingredient excellent flavor reasonable price wide availability find milk soy product cause digestive distress rice beverage effect cholesterol little fat taste great prefer vanilla flavor everyday drinking chocolate treat original cooking original closest milk flavor box perfect taking along lunch infrequent use since opened last really long time however imagine us cheaper canola oil rice milk product canola oil contains erucic acid toxic chemical fda limited canola oil erucic acid protect health allow infant formula addition study show erucic acid contains toxic see able find long term longitudinal controlled study human prove safety far adversely affected organ karma whole grain ricemilk organic also canola sugar free thicker richer creamier body flavor less watered vanilla flavor delicious drink taste fresh whole milk straight cow sold carton westsoy rice beverage similar consistency rice dream canola free find less sweet less chalky milk flavor canola issue well sugar also applies imagine frozen desert product internet rumor canola based misinformation provide citation scientific paper government publication study erucic acid rat piglet show heart lesion decreased red blood cell count tissue organ damage erucic acid cross blood brain barrier known affect nerve cell safe infant check small sample government peer reviewed medical journal article documenting statement available online claim canola safe controversial multi billion dollar industry controlled long term longitudinal study human safety respect medical issue performed knowledge confidence fda safety standard reading reference delicious drink united state legislation low erucic acid rapeseed oil federal department agriculture article section growth rate lipid composition metabolism myocardial lesion rat fed rapeseed oil kramer journal nutrition december dietary factor affecting incidence dietary fat induced myocardial lesion clandinin yamashiro nutr apr nutritional characteristic food us vegetable oil vles gottenbos robblen downey ashri editor oil crop world mcgraw hill new york usa erucic acid food toxicological review risk assessment technical report series food standard australia new zealand june uptake metabolism plasma derived erucic acid rat brain mikhail golovko eric murphy journal lipid research june', 'used many year favored high quality ingredient excellent flavor reasonable price wide availability find milk soy product cause digestive distress rice beverage effect cholesterol little fat taste great prefer vanilla flavor rice beverage milk replacers sweet however rice dream us cheaper canola oil rice milk product except item healthwise rice beverage canola oil contains erucic acid toxic chemical fda limited canola oil erucic acid protect health allow infant formula addition study show erucic acid contains toxic see able find long term longitudinal controlled study human prove safety far adversely affected organ healthwise rice dream rice beverage much healthier half sugar canola oil plant sterol may reduce serum cholesterol karma whole grain ricemilk organic also canola sugar free thicker richer creamier body flavor less watered vanilla flavor delicious drink taste fresh whole milk straight cow sold carton westsoy rice beverage similar consistency rice dream canola free canola issue well added table sugar product also applies imagine frozen desert product internet rumor canola based misinformation provide citation scientific paper government publication study erucic acid rat piglet show heart lesion decreased red blood cell count tissue organ damage erucic acid cross blood brain barrier known affect nerve cell safe infant check small sample government peer reviewed medical journal article documenting statement available online united state legislation low erucic acid rapeseed oil federal department agriculture article section growth rate lipid composition metabolism myocardial lesion rat fed rapeseed oil kramer journal nutrition december dietary factor affecting incidence dietary fat induced myocardial lesion clandinin yamashiro nutr apr nutritional characteristic food us vegetable oil vles gottenbos robblen downey ashri editor oil crop world mcgraw hill new york usa erucic acid food toxicological review risk assessment technical report series food standard australia new zealand june uptake metabolism plasma derived erucic acid rat brain mikhail golovko eric murphy journal lipid research june', 'used many year favored imagine high quality ingredient excellent flavor reasonable price wide availability find milk soy product cause digestive distress rice beverage effect cholesterol little fat taste great prefer vanilla flavor everyday drinking chocolate treat original cooking buying time save shipping cost however imagine us cheaper canola oil rice milk product canola oil contains erucic acid toxic chemical fda limited canola oil erucic acid protect health allow infant formula addition study show erucic acid contains toxic see able find long term longitudinal controlled study human prove safety far adversely affected organ karma whole grain ricemilk organic also canola sugar free thicker richer creamier body flavor less watered vanilla flavor delicious drink taste fresh whole milk straight cow sold carton westsoy rice beverage similar consistency rice dream canola free find less sweet less chalky milk flavor canola issue well sugar also applies imagine frozen desert product internet rumor canola based misinformation provide citation scientific paper government publication study erucic acid rat piglet show heart lesion decreased red blood cell count tissue organ damage erucic acid cross blood brain barrier known affect nerve cell safe infant check small sample government peer reviewed medical journal article documenting statement available online claim canola safe controversial multi billion dollar industry controlled long term longitudinal study human safety respect medical issue performed knowledge confidence fda safety standard reading reference delicious drink united state legislation low erucic acid rapeseed oil federal department agriculture article section growth rate lipid composition metabolism myocardial lesion rat fed rapeseed oil kramer journal nutrition december dietary factor affecting incidence dietary fat induced myocardial lesion clandinin yamashiro nutr apr nutritional characteristic food us vegetable oil vles gottenbos robblen downey ashri editor oil crop world mcgraw hill new york usa erucic acid food toxicological review risk assessment technical report series food standard australia new zealand june uptake metabolism plasma derived erucic acid rat brain mikhail golovko eric murphy journal lipid research june']",Trans Fat Study
58,52,58_tuna_sardine_albacore_fish,"['tuna', 'sardine', 'albacore', 'fish', 'crown', 'solid', 'prince', 'can', 'chunk', 'polar']","['read label buy flavor bff list following two ingredient top list tuna water every low quality dark gray shredded tuna company add trace ingredient claim several flavor fall trick rather want give kitty tuna treat feed regular tuna kind human eat far superior quality cheaper', 'review refers crown prince natural solid white albacore tuna water salt pack previously bought crown prince canned salmon also salt added happy everything smelled looked tasted decided give tuna try well tuna exactly opposite smelled awful looked horrible dark chunky tasting smelled tasted rotten anything quality albacore tuna always look deal low salt item always run high store even tiny low sodium tuna pay twice much one full salt large can came really deal see review enjoyed maybe got bad batch something trying can know buy eat anymore husband one really like tuna could take leave usually leaving usually went can week regular tuna bought store even disappointed stuff recommending princely tuna one batch poor quality packed probably others much money throw away taking another chance right stick can star kist chicken sea buy week market thanks laurie', 'always bought loved clean fresh tuna tasting firm meat polar tuna bought grocer purchased march disappointed although look firm solid expiration date next november smell different fresh tuna smell used also sharp bitter bad tuna aftertaste tuna seems last year bad aftertaste seems coincide various preservative added tuna tuna say albacore water salt thailand water salt tuna tuna bad old day bought polar tuna store put trash left dish counter hour till filled dishwasher smelled fresh tuna smell soon opened pack smell bad get worse quickly last resort see something could remove bad taste even tried cooking one tomato sauce could still taste bad tuna taste disappointed used also say natural additive residue aftertaste true contacted email get back update review']",Canned Fish Varieties
59,52,59_bag_price_specfic_michael,"['bag', 'price', 'specfic', 'michael', 'totaling', 'approximately', 'per', 'pound', 'pack', 'order']","['oct ordered different vendor pack order pack saw item decided order read first order pack price approximately received order today large bag small pack totaling call deceptive curious another reviewer put think description specfic star rating gave description chip actually', 'oct ordered different vendor pack order pack saw item decided order read first order pack price approximately received order today large bag small pack totaling call deceptive curious another reviewer put think description specfic star rating gave description chip actually', 'oct ordered different vendor pack order pack saw item decided order read first order pack price approximately received order today large bag small pack totaling call deceptive curious another reviewer put think description specfic star rating gave description chip actually']",Pricing Details
60,52,60_chip_substitution_yuck_popchips,"['chip', 'substitution', 'yuck', 'popchips', 'bbq', 'fried', 'discontinued', 'weigh', 'baked', 'flavor']","['nasty greasy rich blood plus lacked major flavor spicy jalapeno flavor dissapointed chip always hearing great thing chip telling yuck yuck yuck give pain chip day maybe better kettle chip brand staying clear chip wish could give zero star could', 'nasty greasy rich blood plus lacked major flavor spicy jalapeno flavor dissapointed chip always hearing great thing chip telling yuck yuck yuck give pain chip day maybe better kettle chip brand staying clear chip wish could give zero star could', 'nasty greasy rich blood plus lacked major flavor spicy jalapeno flavor dissapointed chip always hearing great thing chip telling yuck yuck yuck give pain chip day maybe better kettle chip brand staying clear chip wish could give zero star could']",Discontinued Snack Flavor
